Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
1060, 89168, 3.10, 80.20, 2.73, 95.15
1062, 89154, 2.60, 77.20, 2.72, 95.10
1073, 89029, 2.90, 66.50, 2.66, 94.95
1074, 89017, 2.90, 86.80, 2.65, 94.95
1075, 89006, 2.70, 87.90, 2.64, 94.90
1077, 88991, 3.00, 70.70, 2.63, 94.85
1078, 88976, 2.55, 76.00, 2.63, 94.85
1079, 88962, 2.35, 93.60, 2.63, 94.80
1081, 88948, 3.45, 86.20, 2.61, 94.75
1082, 88935, 3.30, 74.70, 2.61, 94.75
1083, 88922, 1.95, 84.00, 2.61, 94.75
1084, 88908, 2.45, 92.60, 2.61, 94.75
1085, 88895, 3.55, 81.00, 2.61, 94.70
1087, 88882, 2.95, 88.80, 2.61, 94.70
1088, 88867, 2.40, 97.30, 2.61, 94.70
1089, 88852, 2.65, 74.10, 2.60, 94.65
1091, 88838, 3.05, 80.00, 2.60, 94.65
1095, 88788, 2.65, 86.50, 2.61, 94.50
1096, 88776, 2.50, 107.50, 2.61, 94.50
1097, 88764, 3.35, 90.30, 2.60, 94.45
1099, 88750, 3.45, 79.90, 2.60, 94.40
1100, 88737, 2.25, 98.50, 2.61, 94.35
1101, 88724, 2.50, 101.00, 2.60, 94.35
1102, 88709, 3.55, 87.30, 2.60, 94.30
1104, 88694, 2.90, 87.40, 2.59, 94.25
1105, 88680, 2.10, 104.00, 2.58, 94.25
1107, 88656, 3.50, 85.10, 2.58, 94.15
1108, 88644, 2.40, 97.30, 2.58, 94.15
1110, 88630, 2.45, 101.50, 2.59, 94.10
1111, 88617, 3.30, 82.20, 2.58, 94.05
1112, 88604, 3.30, 92.20, 2.57, 94.00
1113, 88589, 2.80, 109.00, 2.56, 94.00
1115, 88574, 2.50, 88.00, 2.54, 93.95
1116, 88560, 3.00, 81.60, 2.54, 93.90
1121, 88502, 2.70, 93.80, 2.52, 93.80
1123, 88488, 2.70, 111.10, 2.52, 93.75
1124, 88474, 3.55, 99.40, 2.52, 93.75
1126, 88447, 2.05, 95.80, 2.51, 93.60
1128, 88434, 2.90, 99.90, 2.51, 93.60
1129, 88419, 3.75, 93.70, 2.52, 93.55
1130, 88405, 2.90, 103.40, 2.51, 93.50
1132, 88392, 2.25, 105.30, 2.51, 93.45
1133, 88377, 3.05, 82.90, 2.51, 93.40
1134, 88362, 3.25, 91.80, 2.51, 93.35
1136, 88348, 2.55, 111.10, 2.52, 93.30
1137, 88336, 2.90, 101.40, 2.52, 93.30
1138, 88324, 3.50, 89.70, 2.52, 93.20
1139, 88312, 2.55, 89.20, 2.51, 93.15
1162, 88062, 2.65, 100.00, 2.45, 92.35
1163, 88048, 2.25, 98.50, 2.45, 92.25
1166, 88019, 3.45, 100.70, 2.44, 92.20
1167, 88006, 2.65, 115.70, 2.44, 92.15
1170, 87976, 3.20, 88.20, 2.44, 92.10
1171, 87962, 2.95, 108.50, 2.44, 92.10
1174, 87933, 3.20, 87.00, 2.43, 92.05
1175, 87920, 2.95, 92.10, 2.42, 92.05
1178, 87889, 3.15, 101.20, 2.42, 91.95
1179, 87874, 3.70, 91.80, 2.42, 91.95
1182, 87843, 2.30, 106.20, 2.42, 91.95
1184, 87828, 3.45, 102.50, 2.42, 91.90
1186, 87801, 2.20, 88.60, 2.39, 91.85
1187, 87788, 2.95, 104.00, 2.38, 91.80
1190, 87757, 2.50, 91.50, 2.37, 91.75
1191, 87742, 2.45, 83.40, 2.37, 91.75
1192, 87729, 3.40, 90.10, 2.37, 91.70
1194, 87717, 2.95, 105.00, 2.37, 91.70
1195, 87706, 2.15, 98.40, 2.38, 91.65
1196, 87688, 3.10, 90.10, 2.38, 91.55
1198, 87671, 3.40, 93.80, 2.37, 91.50
1200, 87654, 2.30, 91.30, 2.37, 91.45
1201, 87638, 2.30, 101.10, 2.37, 91.45
1202, 87623, 3.50, 102.50, 2.37, 91.40
1204, 87608, 2.90, 90.70, 2.37, 91.30
1205, 87594, 2.05, 85.70, 2.37, 91.25
1206, 87581, 3.00, 95.00, 2.37, 91.20
1207, 87568, 3.40, 99.50, 2.37, 91.10
1209, 87551, 2.20, 98.90, 2.37, 91.05
1210, 87535, 2.45, 91.50, 2.37, 90.95
1212, 87520, 3.45, 93.90, 2.38, 90.85
1213, 87504, 2.70, 98.80, 2.38, 90.75
1215, 87489, 1.95, 97.60, 2.38, 90.70
1216, 87474, 3.00, 101.30, 2.38, 90.60
1218, 87459, 3.50, 101.20, 2.38, 90.50
1219, 87443, 2.70, 83.50, 2.37, 90.45
1220, 87428, 2.15, 98.00, 2.37, 90.35
1223, 87397, 2.90, 96.30, 2.35, 90.15
1225, 87382, 2.65, 84.90, 2.36, 90.10
1226, 87367, 3.10, 98.50, 2.35, 90.05
1227, 87352, 2.90, 105.10, 2.34, 89.95
1229, 87338, 2.10, 90.60, 2.35, 89.90
1230, 87319, 3.05, 85.10, 2.34, 89.85
1232, 87301, 3.55, 94.10, 2.35, 89.80
1234, 87284, 2.35, 97.10, 2.36, 89.70
1235, 87269, 2.30, 92.10, 2.36, 89.65
1236, 87255, 3.30, 97.30, 2.36, 89.55
1238, 87242, 3.05, 91.10, 2.35, 89.55
1239, 87225, 2.15, 86.50, 2.35, 89.50
1241, 87208, 2.50, 110.50, 2.36, 89.45
1242, 87192, 2.95, 104.50, 2.36, 89.40
1244, 87176, 2.35, 81.90, 2.35, 89.35
1245, 87161, 2.35, 92.20, 2.34, 89.35
1247, 87146, 2.95, 106.80, 2.34, 89.30
1248, 87126, 1.80, 86.40, 2.37, 89.25
1249, 87116, 2.40, 25.30, 2.38, 89.25
