Hr,Min,SW_down_Wm-2,SW_up_Wm-2,LW_down_Wm-2,LW_up_Wm-2,PAR_umolm-2s-1,Pressure_kPa,AirT_degreesC,RH_%,AccumlatedPrecip_mm
1.00000,15.0000,29.3777,6.36205,-13.9690,0.201976,54.1100,95.5800,18.8900,96.7000,0.00000
1.00000,16.0000,27.2708,5.74377,-14.5358,0.0956308,50.4900,95.5800,18.8800,96.8000,0.00000
1.00000,17.0000,25.3700,5.47358,-15.0061,0.242370,46.9000,95.5800,18.8600,96.8000,0.00000
1.00000,18.0000,22.9237,4.86249,-14.7022,0.0328555,42.5000,95.5800,18.8600,96.9000,0.00000
1.00000,19.0000,20.4852,4.37091,-9.98389,0.201818,38.5100,95.5800,18.8600,96.9000,0.00000
1.00000,20.0000,19.9328,4.29267,-10.9403,0.110789,37.5500,95.5800,18.8600,96.8000,0.00000
1.00000,21.0000,19.4009,4.27422,-18.3317,0.150708,37.4500,95.5700,18.8500,96.8000,0.00000
1.00000,22.0000,17.2725,3.95746,-26.2522,-0.0635692,34.5800,95.5600,18.8600,96.5000,0.00000
1.00000,23.0000,14.4566,3.59258,-20.0295,-0.194279,30.2500,95.5700,18.8900,96.3000,0.00000
1.00000,24.0000,11.3886,2.87809,-16.3641,-0.190786,26.0100,95.5700,18.8900,96.2000,0.00000
1.00000,25.0000,9.42667,2.48252,-12.9242,-0.183085,22.6500,95.5600,18.8700,96.2000,0.00000
1.00000,26.0000,8.34672,2.28181,-12.9282,-0.0207927,20.2700,95.5600,18.8600,96.1000,0.00000
1.00000,27.0000,7.03684,2.22416,-10.0895,-0.000555602,17.8500,95.5600,18.8800,95.9000,0.00000
1.00000,28.0000,5.68543,2.22561,-5.90553,0.0715061,14.3800,95.5700,18.8900,95.7000,0.00000
1.00000,29.0000,5.04586,2.02932,-4.09109,0.122615,12.4500,95.5600,18.9000,95.5000,0.00000
1.00000,30.0000,5.09062,1.93925,-5.21100,0.00880955,13.1400,95.5600,18.9000,95.6000,0.00000
1.00000,31.0000,5.12665,1.77171,-9.26541,-0.0511893,13.3500,95.5600,18.8900,95.6000,0.00000
1.00000,32.0000,4.67926,1.56572,-15.3007,-0.341021,13.1900,95.5600,18.8700,95.8000,0.00000
1.00000,33.0000,4.08606,1.48399,-15.1210,-0.185383,12.5300,95.5600,18.8300,95.8000,0.00000
1.00000,34.0000,2.94878,1.84403,-11.7465,-0.0751555,9.74000,95.5600,18.8300,95.6000,0.00000
1.00000,35.0000,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
1.00000,36.0000,3.07331,1.62356,-9.89270,-0.147375,9.07000,95.5700,18.8300,95.6000,0.00000
1.00000,37.0000,2.68194,1.62812,-7.67879,-0.119678,8.43000,95.5700,18.8300,95.7000,0.00000
1.00000,38.0000,2.23531,1.44817,-5.78748,-0.166581,7.43300,95.5700,18.8100,95.8000,0.00000
1.00000,39.0000,2.00299,1.23017,-4.27872,-0.134758,6.44000,95.5700,18.7900,96.0000,0.00000
1.00000,40.0000,1.78541,1.27054,-3.69948,0.00309518,5.44200,95.5700,18.7800,96.1000,0.00000
1.00000,41.0000,1.63195,1.04866,-3.42923,-0.0957124,5.10700,95.5800,18.7700,96.2000,0.00000
1.00000,42.0000,1.44367,1.18509,-2.85377,-0.0322212,4.12100,95.5800,18.7500,96.2000,0.00000
1.00000,43.0000,1.16926,1.16185,-2.58789,0.00817448,3.28100,95.5900,18.7400,96.2000,0.00000
1.00000,44.0000,1.13891,1.14482,-2.48801,0.000317534,2.73700,95.5800,18.7300,96.3000,0.00000
1.00000,45.0000,1.11235,1.13109,-2.75406,-0.0122217,2.91900,95.5800,18.7200,96.3000,0.00000
1.00000,46.0000,0.969181,0.986413,-2.48000,-0.0631732,2.95000,95.5800,18.7100,96.3000,0.00000
1.00000,47.0000,0.707912,0.891648,-2.34383,-0.0521423,3.09700,95.5800,18.7000,96.3000,0.00000
1.00000,48.0000,0.713834,1.01311,-2.51036,-0.123169,2.67500,95.5700,18.7100,96.2000,0.00000
1.00000,49.0000,0.794636,1.02989,-3.31557,-0.0155550,2.88600,95.5800,18.6800,96.1000,0.00000
1.00000,50.0000,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
1.00000,51.0000,0.886086,1.15554,-5.07124,-0.143011,3.16800,95.5800,18.6800,96.0000,0.00000
1.00000,52.0000,0.755910,1.05398,-4.55703,-0.221658,3.16400,95.5800,18.6800,96.1000,0.00000
1.00000,53.0000,0.694118,0.964198,-4.06508,-0.237689,2.90100,95.5700,18.6600,96.1000,0.00000
1.00000,54.0000,0.600633,0.902057,-5.33326,-0.143490,2.55100,95.5800,18.6200,96.2000,0.00000
1.00000,55.0000,0.413936,0.954309,-5.30762,-0.167297,2.28600,95.5800,18.6000,96.3000,0.00000
1.00000,56.0000,0.419238,0.912025,-4.05354,-0.0593624,2.17100,95.5800,18.5700,96.2000,0.00000
1.00000,57.0000,0.269692,0.978664,-2.77992,-0.0638864,1.69100,95.5700,18.5700,96.0000,0.00000
1.00000,58.0000,0.255880,0.924714,-2.74976,-0.178723,1.43500,95.5700,18.5800,95.9000,0.00000
1.00000,59.0000,0.0507851,0.979272,-2.62332,-0.190866,1.01700,95.5700,18.5700,96.0000,0.00000
2.00000,0.00000,0.0235870,0.908521,-2.61445,-0.106584,0.922000,95.5700,18.5600,96.0000,0.00000
2.00000,1.00000,-0.0566519,0.989453,-2.85883,-0.115155,1.03300,95.5700,18.5500,96.0000,0.00000
2.00000,2.00000,-0.0488295,0.807735,-2.99367,-0.170786,0.926000,95.5600,18.5300,96.1000,0.00000
2.00000,3.00000,-0.133826,0.927107,-2.73670,-0.0630136,0.703000,95.5600,18.5200,96.1000,0.00000
